Численность постоянного населения по предварительным итогам Всероссийской переписи населения (2002, тысяча человек, значение показателя за год);;;
;;;
;;;Численность постоянного населения по предварительным итогам Всероссийской переписи населения
        Забайкальский край;все население;мужчины;559,6
        Забайкальский край;городское население;Всего;739,6
        Забайкальский край;городское население;женщины;386,8
        Забайкальский край;городское население;мужчины;352,8
        Забайкальский край;сельское население;Всего;416,6
        Забайкальский край;сельское население;женщины;209,8
        Забайкальский край;сельское население;мужчины;206,8
                Агинский  Бурятский автономный округ;все население;Всего;72,2
                Агинский  Бурятский автономный округ;все население;женщины;37,1
                Агинский  Бурятский автономный округ;все население;мужчины;35,1
                Агинский  Бурятский автономный округ;городское население;Всего;25,5
                Агинский  Бурятский автономный округ;городское население;женщины;13,5
                Агинский  Бурятский автономный округ;городское население;мужчины;12,0
                Агинский  Бурятский автономный округ;сельское население;Всего;46,7
                Агинский  Бурятский автономный округ;сельское население;женщины;23,6
                Агинский  Бурятский автономный округ;сельское население;мужчины;23,1
        Красноярский край;все население;Всего;2966,2
        Красноярский край;все население;женщины;1569,3
        Красноярский край;все население;мужчины;1396,9
        Красноярский край;городское население;Всего;2245,8
        Красноярский край;городское население;женщины;1200,5
        Красноярский край;городское население;мужчины;1045,3
        Красноярский край;сельское население;Всего;720,4
        Красноярский край;сельское население;женщины;368,8
        Красноярский край;сельское население;мужчины;351,6
            Таймырский (Долгано-Ненецкий) автономный округ;все население;Всего;39,8
            Таймырский (Долгано-Ненецкий) автономный округ;все население;женщины;20,4
            Таймырский (Долгано-Ненецкий) автономный округ;все население;мужчины;19,4
            Таймырский (Долгано-Ненецкий) автономный округ;городское население;Всего;26,4
            Таймырский (Долгано-Ненецкий) автономный округ;городское население;женщины;13,8
            Таймырский (Долгано-Ненецкий) автономный округ;городское население;мужчины;12,6
            Таймырский (Долгано-Ненецкий) автономный округ;сельское население;Всего;13,4
            Таймырский (Долгано-Ненецкий) автономный округ;сельское население;женщины;6,6
            Таймырский (Долгано-Ненецкий) автономный округ;сельское население;мужчины;6,8
            Эвенкийский автономный окpуг;все население;Всего;17,7
            Эвенкийский автономный окpуг;все население;женщины;8,8
            Эвенкийский автономный окpуг;все население;мужчины;8,9
            Эвенкийский автономный окpуг;городское население;Всего;5,8
            Эвенкийский автономный окpуг;городское население;женщины;3,0
            Эвенкийский автономный окpуг;городское население;мужчины;2,8
            Эвенкийский автономный окpуг;сельское население;Всего;11,9
            Эвенкийский автономный окpуг;сельское население;женщины;5,8
            Эвенкийский автономный окpуг;сельское население;мужчины;6,1
        Иркутская область;все население;Всего;2581,6
        Иркутская область;все население;женщины;1372,1
        Иркутская область;все население;мужчины;1209,5
        Иркутская область;городское население;Всего;2047,8
        Иркутская область;городское население;женщины;1099,1
        Иркутская область;городское население;мужчины;948,7
        Иркутская область;сельское население;Всего;533,8
        Иркутская область;сельское население;женщины;273,0
        Иркутская область;сельское население;мужчины;260,8
            Усть-Ордынский Бурятский автономный округ;все население;Всего;135,3
            Усть-Ордынский Бурятский автономный округ;все население;женщины;70,3
            Усть-Ордынский Бурятский автономный округ;все население;мужчины;65,0
            Усть-Ордынский Бурятский автономный округ;сельское население;Всего;135,3
            Усть-Ордынский Бурятский автономный округ;сельское население;женщины;70,3
            Усть-Ордынский Бурятский автономный округ;сельское население;мужчины;65,0
        Кемеровская область;все население;Всего;2900,2
        Кемеровская область;все население;женщины;1550,1
        Кемеровская область;все население;мужчины;1350,1
        Кемеровская область;городское население;Всего;2514,0
        Кемеровская область;городское население;женщины;1350,6
        Кемеровская область;городское население;мужчины;1163,4
        Кемеровская область;сельское население;Всего;386,2
        Кемеровская область;сельское население;женщины;199,5
        Кемеровская область;сельское население;мужчины;186,7
        Новосибирская область;все население;Всего;2692,2
        Новосибирская область;все население;женщины;1441,9
        Новосибирская область;все население;мужчины;1250,3
        Новосибирская область;городское население;Всего;2021,6
        Новосибирская область;городское население;женщины;1092,5
        Новосибирская область;городское население;мужчины;929,1
        Новосибирская область;сельское население;Всего;670,6
        Новосибирская область;сельское население;женщины;349,4
        Новосибирская область;сельское население;мужчины;321,2
        Омская область;все население;Всего;2079,2
        Омская область;все население;женщины;1112,7
        Омская область;все население;мужчины;966,5
        Омская область;городское население;Всего;1428,3
        Омская область;городское население;женщины;773,3
        Омская область;городское население;мужчины;655,0
        Омская область;сельское население;Всего;650,9
        Омская область;сельское население;женщины;339,4
        Омская область;сельское население;мужчины;311,5
        Томская область;все население;Всего;1046,0
        Томская область;все население;женщины;552,2
        Томская область;все население;мужчины;493,8
        Томская область;городское население;Всего;715,0
        Томская область;городское население;женщины;380,5
        Томская область;городское население;мужчины;334,5
        Томская область;сельское население;Всего;331,0
        Томская область;сельское население;женщины;171,7
        Томская область;сельское население;мужчины;159,3
    Дальневосточный федеральный округ;все население;Всего;6686,7
    Дальневосточный федеральный округ;все население;женщины;3422,4
    Дальневосточный федеральный округ;все население;мужчины;3264,3
    Дальневосточный федеральный округ;городское население;Всего;5077,5
    Дальневосточный федеральный округ;городское население;женщины;2636,9
    Дальневосточный федеральный округ;городское население;мужчины;2440,6
    Дальневосточный федеральный округ;сельское население;Всего;1609,2
    Дальневосточный федеральный округ;сельское население;женщины;785,5
    Дальневосточный федеральный округ;сельское население;мужчины;823,7
        Республика Саха (Якутия);все население;Всего;948,1
        Республика Саха (Якутия);все население;женщины;484,6
        Республика Саха (Якутия);все население;мужчины;463,5
        Республика Саха (Якутия);городское население;Всего;608,9
        Республика Саха (Якутия);городское население;женщины;313,3
        Республика Саха (Якутия);городское население;мужчины;295,6
        Республика Саха (Якутия);сельское население;Всего;339,2
        Республика Саха (Якутия);сельское население;женщины;171,3
        Республика Саха (Якутия);сельское население;мужчины;167,9
        Камчатский край;все население;Всего;358,8
        Камчатский край;все население;женщины;175,9
        Камчатский край;все население;мужчины;182,9
        Камчатский край;городское население;Всего;290,9
        Камчатский край;городское население;женщины;142,7
        Камчатский край;городское население;мужчины;148,2
        Камчатский край;сельское население;Всего;67,9
        Камчатский край;сельское население;женщины;33,2
        Камчатский край;сельское население;мужчины;34,7
            Корякский автономный  округ;все население;Всего;25,0
            Корякский автономный  округ;все население;женщины;12,3
            Корякский автономный  округ;все население;мужчины;12,7
            Корякский автономный  округ;городское население;Всего;6,5
            Корякский автономный  округ;городское население;женщины;3,4
            Корякский автономный  округ;городское население;мужчины;3,1
            Корякский автономный  округ;сельское население;Всего;18,5
            Корякский автономный  округ;сельское население;женщины;8,9
            Корякский автономный  округ;сельское население;мужчины;9,6
        Приморский край;все население;Всего;2068,2
        Приморский край;все население;женщины;1057,3
        Приморский край;все население;мужчины;1010,9
        Приморский край;городское население;Всего;1620,4
        Приморский край;городское население;женщины;844,2
        Приморский край;городское население;мужчины;776,2
        Приморский край;сельское население;Всего;447,8
        Приморский край;сельское население;женщины;213,1
        Приморский край;сельское население;мужчины;234,7
        Хабаровский край;все население;Всего;1435,4
        Хабаровский край;все население;женщины;740,9
        Хабаровский край;все население;мужчины;694,5
        Хабаровский край;городское население;Всего;1156,4
        Хабаровский край;городское население;женщины;607,1
        Хабаровский край;городское население;мужчины;549,3
        Хабаровский край;сельское население;Всего;279,0
        Хабаровский край;сельское население;женщины;133,8
        Хабаровский край;сельское население;мужчины;145,2
        Амурская область;все население;Всего;902,5
        Амурская область;все население;женщины;465,7
        Амурская область;все население;мужчины;436,8
        Амурская область;городское население;Всего;594,2
        Амурская область;городское население;женщины;312,1
        Амурская область;городское население;мужчины;282,1
        Амурская область;сельское население;Всего;308,3
        Амурская область;сельское население;женщины;153,6
        Амурская область;сельское население;мужчины;154,7
        Магаданская область;все население;Всего;182,7
        Магаданская область;все население;женщины;92,9
        Магаданская область;все население;мужчины;89,8
        Магаданская область;городское население;Всего;168,7
        Магаданская область;городское население;женщины;86,4
        Магаданская область;городское население;мужчины;82,3
        Магаданская область;сельское население;Всего;14,0
        Магаданская область;сельское население;женщины;6,5
        Магаданская область;сельское население;мужчины;7,5
        Сахалинская область;все население;Всего;546,5
        Сахалинская область;все население;женщины;281,4
        Сахалинская область;все население;мужчины;265,1
        Сахалинская область;городское население;Всего;474,0
        Сахалинская область;городское население;женщины;246,3
        Сахалинская область;городское население;мужчины;227,7
        Сахалинская область;сельское население;Всего;72,5
        Сахалинская область;сельское население;женщины;35,1
        Сахалинская область;сельское население;мужчины;37,4
        Еврейская автономная область;все население;Всего;190,9
        Еврейская автономная область;все население;женщины;98,2
        Еврейская автономная область;все население;мужчины;92,7
        Еврейская автономная область;городское население;Всего;128,4
        Еврейская автономная область;городское население;женщины;68,0
        Еврейская автономная область;городское население;мужчины;60,4
        Еврейская автономная область;сельское население;Всего;62,5
        Еврейская автономная область;сельское население;женщины;30,2
        Еврейская автономная область;сельское население;мужчины;32,3
        Чукотский автономный округ;все население;Всего;53,6
        Чукотский автономный округ;все население;женщины;25,5
        Чукотский автономный округ;все население;мужчины;28,1
        Чукотский автономный округ;городское население;Всего;35,6
        Чукотский автономный округ;городское население;женщины;16,6
        Чукотский автономный округ;городское население;мужчины;19,0
        Чукотский автономный округ;сельское население;Всего;18,0
        Чукотский автономный округ;сельское население;женщины;8,9
        Чукотский автономный округ;сельское население;мужчины;9,1
Республика Адыгея;все население;Всего;447,0
Республика Адыгея;все население;женщины;238,8
Республика Адыгея;все население;мужчины;208,2
Республика Адыгея;городское население;Всего;240,4
Республика Адыгея;городское население;женщины;130,6
Республика Адыгея;городское население;мужчины;109,8
Республика Адыгея;сельское население;Всего;206,6
Республика Адыгея;сельское население;женщины;108,2
Республика Адыгея;сельское население;мужчины;98,4
Республика Калмыкия;все население;Всего;292,4
Республика Калмыкия;все население;женщины;152,2
Республика Калмыкия;все население;мужчины;140,2
Республика Калмыкия;городское население;Всего;129,5
Республика Калмыкия;городское население;женщины;70,1
Республика Калмыкия;городское население;мужчины;59,4
Республика Калмыкия;сельское население;Всего;162,9
Республика Калмыкия;сельское население;женщины;82,1
Республика Калмыкия;сельское население;мужчины;80,8
Краснодарский край;все население;Всего;5124,4
Краснодарский край;все население;женщины;2736,9
Краснодарский край;все население;мужчины;2387,5
Краснодарский край;городское население;Всего;2739,8
Краснодарский край;городское население;женщины;1476,0
Краснодарский край;городское население;мужчины;1263,8
Краснодарский край;сельское население;Всего;2384,6
Краснодарский край;сельское население;женщины;1260,9
Краснодарский край;сельское население;мужчины;1123,7
Астраханская область;все население;Всего;1007,2
Астраханская область;все население;женщины;532,1
Астраханская область;все население;мужчины;475,1
Астраханская область;городское население;Всего;683,9
Астраханская область;городское население;женщины;364,5
Астраханская область;городское население;мужчины;319,4
Астраханская область;сельское население;Всего;323,3
Астраханская область;сельское население;женщины;167,6
Астраханская область;сельское население;мужчины;155,7
Волгоградская область;все население;Всего;2702,5
Волгоградская область;все население;женщины;1443,5
Волгоградская область;все население;мужчины;1259,0
Волгоградская область;городское население;Всего;2032,6
Волгоградская область;городское население;женщины;1093,1
Волгоградская область;городское население;мужчины;939,5
Волгоградская область;сельское население;Всего;669,9
Волгоградская область;сельское население;женщины;350,4
Волгоградская область;сельское население;мужчины;319,5
Ростовская область;все население;Всего;4406,7
Ростовская область;все население;женщины;2357,4
Ростовская область;все население;мужчины;2049,3
Ростовская область;городское население;Всего;2979,1
Ростовская область;городское население;женщины;1610,3
Ростовская область;городское население;мужчины;1368,8
Ростовская область;сельское население;Всего;1427,6
Ростовская область;сельское население;женщины;747,1
Ростовская область;сельское население;мужчины;680,5
